primary_title,simple_title,genres,title_type,year,runtime_minutes,average_rating,num_votes
The Monster,the monster,"Comedy,Horror,Mystery",movie,1925,86,6.2,1412
The Monster Walks,the monster walks,"Horror,Mystery",movie,1932,57,4.1,1120
The Human Monster,the human monster,"Crime,Drama,Horror",movie,1939,73,5.7,1579
Man Made Monster,man made monster,"Drama,Horror,Romance",movie,1941,59,6.1,1953
The Monster and the Girl,the monster and the girl,"Crime,Drama,Horror",movie,1941,65,6,799
The Mad Monster,the mad monster,"Drama,Horror,Romance",movie,1942,77,3.5,1969
The Undying Monster,the undying monster,"Drama,Horror,Mystery",movie,1942,63,6.1,1588
The Lady and the Monster,the lady and the monster,"Horror,Sci-Fi,Thriller",movie,1944,86,5.7,504
The Monster Maker,the monster maker,"Horror,Sci-Fi",movie,1944,62,4.8,1285
The Soul of a Monster,the soul of a monster,"Drama,Horror,Romance",movie,1944,61,4.9,289
The Monster and the Ape,the monster and the ape,"Action,Adventure,Horror",movie,1945,295,5.6,112
The Magnetic Monster,the magnetic monster,"Horror,Sci-Fi",movie,1953,76,5.8,1998
Robot Monster,robot monster,"Comedy,Family,Horror",movie,1953,66,3,5538
The Bowery Boys Meet the Monsters,the bowery boys meet the monsters,"Comedy,Horror,Sci-Fi",movie,1954,65,5.9,806
Monster from the Ocean Floor,monster from the ocean floor,"Horror,Sci-Fi",movie,1954,64,3.8,1062
Bride of the Monster,bride of the monster,"Horror,Sci-Fi",movie,1955,69,4.1,7811
The Astounding She-Monster,the astounding shemonster,"Crime,Horror,Sci-Fi",movie,1957,62,3.6,1114
Attack of the Crab Monsters,attack of the crab monsters,"Horror,Sci-Fi",movie,1957,63,4.9,3980
The Monolith Monsters,the monolith monsters,"Drama,Horror,Sci-Fi",movie,1957,77,6.4,4135
The Monster That Challenged the World,the monster that challenged the world,"Horror,Sci-Fi,Thriller",movie,1957,84,5.7,3256
Monster from Green Hell,monster from green hell,"Horror,Sci-Fi",movie,1957,71,3.7,1413
Teenage Monster,teenage monster,"Horror,Sci-Fi,Western",movie,1957,65,3.7,415
The Electronic Monster,the electronic monster,"Crime,Horror,Mystery",movie,1958,76,4.7,227
How to Make a Monster,how to make a monster,"Horror,Sci-Fi",movie,1958,73,5.5,1572
I Married a Monster from Outer Space,i married a monster from outer space,"Horror,Sci-Fi",movie,1958,78,6.3,3183
The Monster of Piedras Blancas,the monster of piedras blancas,"Horror,Sci-Fi",movie,1959,71,5.3,1185
Monster on the Campus,monster on the campus,"Horror,Sci-Fi",movie,1958,77,5.8,2150
"Caltiki, the Immortal Monster",caltiki the immortal monster,"Adventure,Horror,Sci-Fi",movie,1959,77,5.9,1685
The Giant Gila Monster,the giant gila monster,"Horror,Sci-Fi,Thriller",movie,1959,74,3.7,4438
The Ship of Monsters,the ship of monsters,"Comedy,Horror,Sci-Fi",movie,1960,81,6.3,476
The Cape Canaveral Monsters,the cape canaveral monsters,"Horror,Sci-Fi",tvMovie,1960,69,3.5,457
The Blancheville Monster,the blancheville monster,Horror,movie,1963,88,5.4,888
The Monster of the Opera,the monster of the opera,Horror,movie,1964,84,5.3,257
The Beach Girls and the Monster,the beach girls and the monster,Horror,movie,1965,70,3.4,1135
Gamera: The Giant Monster,gamera the giant monster,"Action,Horror,Sci-Fi",movie,1965,81,5.2,3924
Frankenstein Meets the Spacemonster,frankenstein meets the spacemonster,"Horror,Sci-Fi",movie,1965,79,3.8,1838
Monster a Go-Go,monster a gogo,"Horror,Sci-Fi",movie,1965,68,1.8,10106
"Die, Monster, Die!",die monster die,"Horror,Mystery,Sci-Fi",movie,1965,80,5.6,3804
The Navy vs. the Night Monsters,the navy vs the night monsters,"Horror,Sci-Fi",movie,1966,87,3.7,833
Kiss Me Monster,kiss me monster,"Adventure,Horror,Mystery",movie,1969,75,4.4,779
Night of the Blood Monster,night of the blood monster,"Biography,Horror",movie,1970,84,5.2,1606
Horror of the Blood Monsters,horror of the blood monsters,"Adventure,Horror,Sci-Fi",movie,1970,85,3.1,1151
"I, Monster",i monster,Horror,movie,1971,75,5.7,2041
Chabelo and Pepito vs. The Monsters,chabelo and pepito vs the monsters,"Comedy,Family,Horror",movie,1973,90,5.9,230
Godmonster of Indian Flats,godmonster of indian flats,"Drama,Horror,Western",movie,1973,89,3.6,940
Frankenstein and the Monster from Hell,frankenstein and the monster from hell,"Horror,Sci-Fi",movie,1974,93,6.3,4451
The Milpitas Monster,the milpitas monster,"Horror,Sci-Fi,Thriller",movie,1976,80,3.6,494
The Monster Club,the monster club,"Comedy,Horror,Musical",movie,1981,104,5.9,4719
